頻道名稱,影片發佈時間,影片連結,影片長度,,,,,WAV檔名,,,,
臺北酷課雲-1年級國文,2018年10月1日,https://youtu.be/wia1f4MWCHM,9:47,0:09:47,,,,標點符號的「標」與「點」,,,,
臺北酷課雲-1年級國文,2018年9月28日,https://youtu.be/VTiOLMPisjU,8:23,0:08:23,,,,一不小心就會念錯,,,,
臺北酷課雲-1年級國文,2018年10月1日,https://youtu.be/vs0OziEXxpA,6:07,0:06:07,,,,聽我說，聽我讀（上）,,,,
臺北酷課雲-1年級國文,2018年9月28日,https://youtu.be/o-UxOjFjKUE,5:26,0:05:26,,,,把字寫漂亮密技大公開（上）,,,,
臺北酷課雲-1年級國文,2018年9月28日,https://youtu.be/irQvpgoYJWQ,13:48,0:13:48,,,,把字寫漂亮密技大公開（下）,,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/6RRzY9fEq4w,8:15,0:08:15,,,,標點符號,,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/wzNz7M3dhFo,7:56,0:07:56,,,,部件：上、中、下部件不同的字,,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/QPyv7gi09pA,6:44,0:06:44,,,,詞語比一比_近義詞_能與會1,,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/0A1SDWFhcIk,9:14,0:09:14,,,,詞語比一比_近義詞(又再還也),,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/SGTrnwV3yso,6:17,0:06:17,,,,國字建築師(上),,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/nl4IC0liPog,7:16,0:07:16,,,,國字建築師(中),,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/da0tU2_pA5E,7:17,0:07:17,,,,國字建築師(下),,,,
臺北酷課雲-2年級國文,2018年10月1日,https://youtu.be/Zp9f1xNgnYA,6:57,0:06:57,,,,聽我說，聽我讀(下),,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/AaLGkqltOE4,10:24,0:10:24,,,,同部件同音及音近字,,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/XaUBE_miq8E,6:26,0:06:26,,,,把字句與被字句 1,,,,
臺北酷課雲-2年級國文,2018年9月28日,https://youtu.be/sQBpgClHQWs,7:52,0:07:52,,,,把字句與被字句 2,,,,
臺北酷課雲-2年級國文,2018年10月1日,https://youtu.be/Ciz58ztmIBY,8:59,0:08:59,,,,應用文：日記的寫法,,,,
臺北酷課雲-2年級國文,2018年10月1日,https://youtu.be/-avEJUQ4tNo,8:21,0:08:21,,,,詩歌概說1童謠猜謎,,,,
臺北酷課雲-2年級國文,2018年10月1日,https://youtu.be/Ae874_kThmQ,9:49,0:09:49,,,,詩歌概說2詩歌家族,,,,
臺北酷課雲-2年級國文,2018年10月1日,https://youtu.be/FS-MQFNtX6k,7:32,0:07:32,,,,讀故事學國字,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/XTZ5yTPvQzk,,0:06:41,,,,神奇妙用的標點符號,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/OESBg96Hrhk,,0:06:24,,,,多義詞(1)以「方便」和「深」為例,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/BJUJn8YBlZQ,,0:09:34,,,,成語（一）,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/2LujPW0py0I,,0:07:58,,,,成語（二）,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/JYiXy2felmc,,0:08:23,,,,因果句（1）- 說明因果關係,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/bKwaHG_uiCk,,0:06:28,,,,轉化：擬人（1）,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/A61lbeXkpik,,0:05:12,,,,轉化：擬人（2）,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/MfJ2gsajP7o,,0:06:02,,,,類疊的介紹（1）,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/cFWSbkpRfBA,,0:06:42,,,,段落大意之刪除法 - 觀念篇,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/cmtzV-rr-DU,,0:08:10,,,,段落大意之刪除法 - 實作篇,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/i2F2Iae16Yg,,0:13:17,,,,記敘文概說,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/JF331ik3Ht4,,0:07:25,,,,記敘文：人物寫真（一）｜走入海倫．凱勒的人物故事,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/SbxkBntwDwg,,0:09:13,,,,記敘文：人物寫真（二）｜理解關鍵詞與｜海倫．凱勒和蘇利文老師,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/k692F9XMGtA,,0:08:27,,,,記敘文：人物寫真（三）｜如何寫人｜海倫．凱勒,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/CXVsr-StOrA,,0:11:47,,,,說明文概說,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/8BvCXbl-eyM,,0:10:51,,,,說明文：從標題、圖表讀懂說明文,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/Tk1k03l3fmU,,0:08:04,,,,揮毫有意思（上）,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/mDmkbIsZ3yg,,0:12:09,,,,揮毫有意思（下）,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/qgI0FtpjfiU,,0:09:49,,,,認識電子工具書（上）,,,,
臺北酷課雲-3年級國文,2018年9月28日,https://youtu.be/1PUA8EJsUCM,,0:09:50,,,,認識電子工具書（下）,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/DfMrtq_6va4?si=86hcaSqj6_Rfc35f,,0:12:32,,,,國小社會 臺北市文山區的鄉土環境（上）,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/Jg38JVy3H_8?si=uwuWng2dzzdiGG2G,,0:07:30,,,,國小社會 松山區的鄉土環境二,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/R-P4-PDDMbc?si=PDi2culWEbTeJbOO,,0:06:53,,,,國小社會 中山區的鄉土環境 歷史篇,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/ox96EUj7Tfw?si=Xo3Fy1zSzVCsPVhJ,,0:05:24,,,,國小社會 認識中山區–地理篇,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/VXOaJKplwCc?si=aXDPtghtPlf1NXVh,,0:05:52,,,,國小社會 臺北市萬華區的鄉土環境 艋舺的開發上,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/-sfGr_7PDEs?si=0uKMyoXEJdzhaApp,,0:06:02,,,,國小社會 臺北市萬華區的鄉土環境 艋舺的開發下,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/dd1U0g4lcUk?si=Nth_8aFq227_C2zM,,0:05:42,,,,國小社會 臺北市萬華區的鄉土環境 地理篇,,,,
